sesion,capitulo,titulo,slide_concepto,slide_desarrollo,slide_ejemplo,seccion,fuente,industria,archivo
09-observabilidad-langfuse,7,De trazas a evaluación,19,20,21,§6 y conexión S10,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,MercaSur,09-observabilidad-langfuse-editable.pptx
10-evaluacion-optimizacion,1,Mejorar con evidencia,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,AndesMóvil,10-evaluacion-optimizacion-editable.pptx
10-evaluacion-optimizacion,2,El golden dataset del curso,4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,Banco Inti,10-evaluacion-optimizacion-editable.pptx
10-evaluacion-optimizacion,3,Tres evaluadores determinísticos,7,8,9,§2 y comun/evaluadores.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,Andina Seguros,10-evaluacion-optimizacion-editable.pptx
10-evaluacion-optimizacion,4,LLM-as-judge: uso y sesgos,10,11,12,§3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,MercaSur,10-evaluacion-optimizacion-editable.pptx
10-evaluacion-optimizacion,5,"Mejora, variación y repetición",13,14,15,§4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,Banco Inti,10-evaluacion-optimizacion-editable.pptx
10-evaluacion-optimizacion,6,Laboratorio L10: un cambio dirigido,16,17,18,§5 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,Andina Seguros,10-evaluacion-optimizacion-editable.pptx
10-evaluacion-optimizacion,7,Preparar evidencia para la sustentación,19,20,21,§6 y conexión S11,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-10-evaluacion-optimizacion/README.md,MercaSur,10-evaluacion-optimizacion-editable.pptx
11-sustentacion-final,1,Cerrar el proyecto acumulativo,1,2,3,Objetivos y §2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,AndesMóvil,11-sustentacion-final-editable-v2.pptx
11-sustentacion-final,2,Cliente web y streaming,4,5,6,"Objetivos, code/README.md y lab/README.md",https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,MercaSur,11-sustentacion-final-editable-v2.pptx
11-sustentacion-final,3,Argumentar una decisión de arquitectura,7,8,9,§0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,Andina Seguros,11-sustentacion-final-editable-v2.pptx
11-sustentacion-final,4,Guion de diez minutos,10,11,12,§0 · guion de demo,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,Banco Inti,11-sustentacion-final-editable-v2.pptx
11-sustentacion-final,5,Contingencia y evidencia anticipada,13,14,15,§6,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,MercaSur,11-sustentacion-final-editable-v2.pptx
11-sustentacion-final,6,Documento de diseño de cuatro páginas,16,17,18,§7,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,AndesMóvil,11-sustentacion-final-editable-v2.pptx
11-sustentacion-final,7,"Rúbrica, laboratorio y cierre",19,20,21,§§8–10 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-11-sustentacion-final/README.md,Andina Seguros,11-sustentacion-final-editable-v2.pptx
12-seminario-internacional,1,Escuchar decisiones de industria,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/seminario-internacional/README.md,AndesMóvil,12-seminario-internacional-editable.pptx
12-seminario-internacional,2,Tres mecanismos para un panel útil,4,5,6,§2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/seminario-internacional/README.md,Banco Inti,12-seminario-internacional-editable.pptx
12-seminario-internacional,3,Guion del seminario en vivo,7,8,9,§3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/seminario-internacional/README.md,MercaSur,12-seminario-internacional-editable.pptx
12-seminario-internacional,4,Preparar tres preguntas,10,11,12,§4 y preparacion.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/seminario-internacional/README.md,Andina Seguros,12-seminario-internacional-editable.pptx
12-seminario-internacional,5,Documento de contraste,13,14,15,§5 y plantilla-contraste.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/seminario-internacional/README.md,Banco Inti,12-seminario-internacional-editable.pptx
12-seminario-internacional,6,Cierre formativo del curso,16,17,18,§6 y cronograma,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/seminario-internacional/README.md,AndesMóvil,12-seminario-internacional-editable.pptx
13-bonus-foundry,1,Modelo de recursos de Azure,1,2,3,Paso 1 y acceso-azure.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,Banco Inti,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,2,Dos vías de acceso,4,5,6,Paso 2 y acceso-azure.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,MercaSur,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,3,Deployment y variables del destino,7,8,9,Paso 3 y acceso-azure.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,Andina Seguros,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,4,El switch del proveedor,10,11,12,Paso 4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,AndesMóvil,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,5,Hosted agent y protocolo Responses,13,14,15,Paso 5 y host/main.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,MercaSur,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,6,Envolver el agente: qué porta,16,17,18,Paso 6 y host/main.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,Banco Inti,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,7,Desplegar con azd,19,20,21,Paso 7 y host/azure.yaml,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,Andina Seguros,13-bonus-foundry-editable-v2.pptx
13-bonus-foundry,8,Comparar siete dimensiones,22,23,24,Paso 8 y plantilla-comparativa.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-4-plus-foundry/README.md,MercaSur,13-bonus-foundry-editable-v2.pptx
